# Data imported from Sarah's compWithOtherMethods/data.txt
#
# Additional comments from the data file for each (num_particles, freq):
#
# - (56, 1.0) no convergence until R=14
# - (56, 0.5) no convergence until R=16
# - (56, 0.28) no convergence until R=18
# - (56, 0.1) no convergence until at least R=18
#
# Rows with energy=nan indicate no convergence (marked as "nc" in data.txt)
#
num_particles freq num_shells method energy
42 1.0 12 imsrg 546.1358
42 1.0 12 ccsd 546.2805
42 1.0 13 hf 548.6881
42 1.0 13 imsrg 545.0728
42 1.0 14 hf 547.9075
42 1.0 14 imsrg 544.077
42 1.0 14 ccsd 544.2634
42 1.0 16 hf 547.6913
42 1.0 16 imsrg 543.5977
42 1.0 16 ccsd 543.7953
42 1.0 18 hf 547.6834
42 1.0 18 imsrg 543.4402
42 1.0 18 ccsd 543.641
42 1.0 20 hf 547.6832
42 1.0 20 imsrg 543.3398
42 1.0 20 ccsd 543.5423
42 0.5 8 hf 363.7667
42 0.5 8 imsrg 362.6384
42 0.5 9 hf 354.5736
42 0.5 9 imsrg nan
42 0.5 10 hf 345.7212
42 0.5 10 imsrg 343.6797
42 0.5 10 ccsd 343.7933
42 0.5 12 hf 338.5124
42 0.5 12 imsrg 335.723
42 0.5 12 ccsd 335.9015
42 0.5 13 hf 337.2062
42 0.5 13 imsrg 334.0219
42 0.5 14 hf 335.823
42 0.5 14 imsrg 332.4212
42 0.5 14 ccsd 332.6689
42 0.5 16 hf 334.99
42 0.5 16 imsrg 331.2554
42 0.5 18 hf 334.8158
42 0.5 18 imsrg 330.9641
42 0.5 20 hf 334.8026
42 0.5 20 imsrg 330.8885
42 0.28 12 hf 229.0335
42 0.28 12 imsrg 226.632
42 0.28 12 ccsd 226.8383
42 0.28 14 hf 225.6415
42 0.28 14 imsrg 222.7101
42 0.28 14 ccsd 222.9902
42 0.28 16 hf 224.1895
42 0.28 16 imsrg 220.8758
42 0.28 18 hf 223.6466
42 0.28 18 imsrg 220.1885
42 0.28 20 hf 223.5045
42 0.28 20 imsrg 220.0226
42 0.1 14 hf 114.6498
42 0.1 14 imsrg 112.53086
42 0.1 14 ccsd 112.8385
42 0.1 16 hf 112.587
42 0.1 16 imsrg 110.15808
42 0.1 17 hf 112.0146
42 0.1 17 imsrg 109.36114
42 0.1 18 hf 111.4172
42 0.1 18 imsrg 108.7591
42 0.1 20 hf 110.7797
42 0.1 20 imsrg 108.06029
42 0.1 22 hf 110.467
42 0.1 22 imsrg 107.7851
56 1.0 14 hf 889.76547
56 1.0 14 imsrg 885.27974
56 1.0 14 ccsd 885.4848
56 1.0 16 hf 886.70472
56 1.0 16 imsrg 881.52768
56 1.0 16 ccsd 881.7727
56 1.0 18 hf 885.95528
56 1.0 18 imsrg 880.41594
56 1.0 18 ccsd 880.6746
56 0.5 16 hf 545.7742
56 0.5 16 imsrg 541.2165
56 0.5 16 ccsd 541.5433
56 0.5 18 hf 543.8377
56 0.5 18 imsrg 538.81989
56 0.28 18 hf 365.2326
56 0.28 18 imsrg 360.83689
