# term_ids 3 and 4: QDPT2
# term_ids 5 to 22: QDPT3
#
# Functional dependencies:
#
#   * (num_shells, num_filled, freq, method, p, term_id) -> correction
#
interaction num_shells num_filled freq method p term_id correction
normal 3 1 0.5 imsrg 0 15 -3.5446431382976304e-07
normal 3 1 0.5 imsrg 0 16 -3.54464313829763e-07
normal 3 1 0.5 imsrg 0 17 -7.4428246470060326e-09
normal 3 1 0.5 imsrg 0 18 -7.4428246470060326e-09
normal 3 1 0.5 imsrg 0 19 -7.4428246470060326e-09
normal 3 1 0.5 imsrg 0 20 0.021477663008484457
normal 3 1 0.5 imsrg 0 21 3.5446431382976304e-07
normal 3 1 0.5 imsrg 0 22 3.54464313829763e-07
normal 3 1 0.5 imsrg 4 3 -0.0730418338227562
normal 3 1 0.5 imsrg 4 4 2.4455349292860366e-09
normal 3 1 0.5 imsrg 4 5 0.0324264987103775
normal 3 1 0.5 imsrg 4 6 3.570913654133016e-10
normal 3 1 0.5 imsrg 4 7 -3.5709136541330176e-10
normal 3 1 0.5 imsrg 4 8 -7.314732966399807e-10
normal 3 1 0.5 imsrg 4 9 0.0
normal 3 1 0.5 imsrg 4 10 0.0
normal 3 1 0.5 imsrg 4 11 -8.352251770764454e-09
normal 3 1 0.5 imsrg 4 12 6.349418616247388e-09
normal 3 1 0.5 imsrg 4 13 6.764536462197743e-07
normal 3 1 0.5 imsrg 4 14 6.764536462197742e-07
normal 3 1 0.5 imsrg 4 15 -2.842323268629416e-07
normal 3 1 0.5 imsrg 4 16 -2.842323268629415e-07
normal 3 1 0.5 imsrg 4 17 1.2478550041114143e-06
normal 3 1 0.5 imsrg 4 18 1.2478550041114145e-06
normal 3 1 0.5 imsrg 4 19 -0.053679845798888896
normal 3 1 0.5 imsrg 4 20 1.4476611528390963e-09
normal 3 1 0.5 imsrg 4 21 1.447661152839096e-09
normal 3 1 0.5 imsrg 4 22 1.447661152839096e-09
normal 3 1 1.0 hf 0 3 -0.10471491897846474
normal 3 1 1.0 hf 0 4 0.03349728639322745
normal 3 1 1.0 hf 0 5 0.0476181422091258
normal 3 1 1.0 hf 0 6 -0.0006107677121060765
normal 3 1 1.0 hf 0 7 0.0006107677121060768
normal 3 1 1.0 hf 0 8 -0.015357011199202434
normal 3 1 1.0 hf 0 9 0.03734171173497488
