num_shells	num_filled	freq	method	energy
17	6	0.1	mp2	109.57844697192493
17	6	0.28	hf	223.92851071766498
17	6	0.28	imsrg	220.48431030742077
17	6	0.28	mp2	220.55850361240564
17	6	1.0	hf	547.6864073226396
17	6	1.0	imsrg	543.5095945027923
17	6	1.0	mp2	543.4381963583814
17	7	0.28	hf	366.15450610582695
17	7	0.28	imsrg	362.0448563051184
17	7	0.28	mp2	362.06118666746335
17	7	1.0	hf	886.0525173365543
17	7	1.0	imsrg	880.6705111992488
17	7	1.0	mp2	880.5515374815761
18	5	0.1	hf	62.360822674925146
18	5	0.1	imsrg	60.47090952753546
18	5	0.1	mp2	60.504390143084
18	5	0.28	hf	126.48984626110058
18	5	0.28	imsrg	124.05797598484995
18	5	0.28	mp2	124.01756402208188
18	5	1.0	hf	311.859981267087
18	5	1.0	imsrg	308.8143310316261
18	5	1.0	mp2	308.7641884756095
18	6	0.1	hf	111.41720933567245
18	6	0.1	imsrg	108.75913231635603
18	6	0.1	mp2	108.92979158411896
18	6	0.28	hf	223.64656535332273
18	6	0.28	imsrg	220.1886023826399
18	6	0.28	mp2	220.19349944460663
18	6	1.0	hf	547.6834026375711
18	6	1.0	imsrg	543.4402382260876
18	6	1.0	mp2	543.3500224564876
18	7	0.28	hf	365.23264803387474
18	7	0.28	imsrg	360.8369905957503
18	7	0.28	mp2	360.86729510532945
18	7	1.0	hf	885.9552834852595
18	7	1.0	imsrg	880.4160629084006
18	7	1.0	mp2	880.2809422086126
19	5	0.28	hf	126.48787015969455
19	5	0.28	imsrg	124.04841234344518
19	5	0.28	mp2	123.98574240696693
19	5	1.0	hf	311.8599475928778
19	5	1.0	imsrg	308.78882855091234
19	5	1.0	mp2	308.72573402596004
19	6	0.1	hf	111.10836126608503
19	6	0.1	imsrg	108.33717035983922
19	6	0.1	mp2	108.50429324618246
19	6	0.28	hf	223.5756485069956
19	6	0.28	imsrg	220.0921965745066
19	6	0.28	mp2	220.04887943764743
19	6	1.0	hf	547.6833205574692
19	6	1.0	imsrg	543.3850494525449
19	6	1.0	mp2	543.2767352794291
19	7	0.1	hf	183.48232113830747
19	7	0.1	imsrg	180.21565404579852
19	7	0.1	mp2	180.30704030961147
19	7	0.28	hf	364.27159518367074
19	7	0.28	imsrg	359.75118776523897
19	7	0.28	mp2	359.7599389196607
19	7	1.0	hf	885.8589982212317
19	7	1.0	imsrg	880.2123229511077
19	7	1.0	mp2	880.0506081202507
20	5	0.1	hf	62.27163858278267
20	5	0.1	imsrg	60.43190856070072
20	5	0.1	mp2	60.37220462703538
20	5	0.28	hf	126.48784085215662
20	5	0.28	imsrg	124.04105555629906
20	5	0.28	mp2	123.95919122729102
20	5	1.0	hf	311.8599460964578
20	5	1.0	imsrg	308.76737090447557
20	5	1.0	mp2	308.6922990618287
20	6	0.1	hf	110.77967751398694
20	6	0.1	imsrg	108.0603608498989
20	6	0.1	mp2	108.13497933880996
20	6	0.28	hf	223.50447886378777
