# Functional dependencies:
#
#   * (interaction, num_shells, num_filled, freq, method) -> energy
#
interaction num_shells num_filled freq method energy
normal 11 5 0.28 imsrg 126.13782396063121
normal 11 5 0.28 mp2 126.24607666537473
normal 11 5 1.0 hf 312.1390113713778
normal 11 5 1.0 imsrg 309.6182227832148
normal 11 5 1.0 mp2 309.65124813528655
normal 11 6 1.0 hf 552.4724925700435
normal 11 6 1.0 imsrg 549.5708005694911
normal 11 6 1.0 mp2 549.486332603113
normal 11 7 1.0 hf 906.165846059916
normal 11 7 1.0 imsrg 903.3154471727736
normal 11 7 1.0 mp2 903.137844812108
normal 12 1 0.28 hf 1.1417119961877666
normal 12 1 0.28 imsrg 0.9972049105623458
normal 12 1 0.28 mp2 1.022949846911767
normal 12 1 0.5 hf 1.7997418133436016
normal 12 1 0.5 imsrg 1.6452108203774947
normal 12 1 0.5 mp2 1.6650596689167436
normal 12 1 1.0 hf 3.16190860901365
normal 12 1 1.0 imsrg 2.9947634246166404
normal 12 1 1.0 mp2 3.009986724388934
normal 12 2 0.1 hf 3.8523815305524463
normal 12 2 0.1 imsrg 3.4943750959812823
normal 12 2 0.1 mp2 3.551577051957816
normal 12 2 0.28 hf 8.01957008212735
normal 12 2 0.28 imsrg 7.574309398381273
normal 12 2 0.28 mp2 7.617158193997368
normal 12 2 0.5 hf 12.271319951772123
normal 12 2 0.5 imsrg 11.776915435101408
normal 12 2 0.5 mp2 11.815056683800975
normal 12 2 1.0 hf 20.719215427064782
normal 12 2 1.0 imsrg 20.174249099019075
normal 12 2 1.0 mp2 20.206357095484037
normal 12 3 0.1 hf 12.92921525523881
normal 12 3 0.1 imsrg 12.218193255451192
normal 12 3 0.1 mp2 12.284868292346877
normal 12 3 0.28 hf 26.550035392912807
normal 12 3 0.28 imsrg 25.636196033378187
normal 12 3 0.28 mp2 25.690666034933592
normal 12 3 0.5 hf 40.21616522038531
normal 12 3 0.5 imsrg 39.19485556877896
normal 12 3 0.5 mp2 39.24497293931448
normal 12 3 1.0 hf 66.91136401807958
normal 12 3 1.0 imsrg 65.78624147939338
normal 12 3 1.0 mp2 65.82764925647868
normal 12 4 0.1 hf 31.359746956613265
normal 12 4 0.1 imsrg 30.108515440012322
normal 12 4 0.1 mp2 30.293098881947962
normal 12 4 0.28 hf 63.56726693850579
normal 12 4 0.28 imsrg 62.01245943295314
normal 12 4 0.28 mp2 62.111757897577526
normal 12 4 1.0 hf 158.00495140552147
normal 12 4 1.0 imsrg 156.13712949890885
normal 12 4 1.0 mp2 156.18186528841363
normal 12 5 0.28 hf 127.51618102176799
normal 12 5 0.28 imsrg 125.32091717503691
normal 12 5 0.28 mp2 125.47849004881608
normal 12 5 1.0 hf 312.0104182176216
normal 12 5 1.0 imsrg 309.3140699388652
normal 12 5 1.0 mp2 309.3534946002996
normal 12 6 0.28 hf 229.03349029961825
normal 12 6 0.28 imsrg 226.63227576013452
normal 12 6 0.28 mp2 226.66460605191642
normal 12 6 1.0 hf 549.3883843222997
normal 12 6 1.0 imsrg 546.1358169562226
normal 12 6 1.0 mp2 546.0857293726593
normal 13 1 0.28 hf 1.141711954866618
normal 13 1 0.28 imsrg 0.9971675760466322
normal 13 1 0.28 mp2 1.021956707551853
normal 13 1 0.5 hf 1.7997416718219983
normal 13 1 0.5 imsrg 1.6449868194257689
normal 13 1 0.5 mp2 1.6639094829466368
normal 13 1 1.0 hf 3.161908466430935
normal 13 1 1.0 imsrg 2.9942683913775823
normal 13 1 1.0 mp2 3.008652311577643
normal 13 2 0.1 hf 3.852381461374195
normal 13 2 0.1 imsrg 3.494739908712267
normal 13 2 0.1 mp2 3.5479780953666857
normal 13 2 0.28 hf 8.01956966717016
normal 13 2 0.28 imsrg 7.573626172633364
normal 13 2 0.28 mp2 7.612324258656289
normal 13 2 0.5 hf 12.271319948487768
normal 13 2 0.5 imsrg 11.775160412805677
normal 13 2 0.5 mp2 11.809387571322393
normal 13 2 1.0 hf 20.719215072764975
normal 13 2 1.0 imsrg 20.170833989642393
normal 13 2 1.0 mp2 20.199592933856483
normal 13 3 0.1 hf 12.924947175368946
normal 13 3 0.1 imsrg 12.220157092154125
normal 13 3 0.1 mp2 12.27136513329327
normal 13 3 0.28 hf 26.55003087407229
normal 13 3 0.28 imsrg 25.632622345193507
normal 13 3 0.28 mp2 25.675515660034797
normal 13 3 0.5 hf 40.216144024998975
normal 13 3 0.5 imsrg 39.1874770288769
normal 13 3 0.5 mp2 39.22761686843217
normal 13 3 1.0 hf 66.91132316567902
normal 13 3 1.0 imsrg 65.77313763384846
normal 13 3 1.0 mp2 65.80693338986917
normal 13 4 0.1 hf 31.280274247238843
normal 13 4 0.1 imsrg 29.99942120471288
normal 13 4 0.1 mp2 30.160367757448462
normal 13 4 0.28 hf 63.55277266323023
normal 13 4 0.28 imsrg 61.98835272367306
normal 13 4 0.28 mp2 62.05642713439568
normal 13 4 1.0 hf 158.00475662472974
normal 13 4 1.0 imsrg 156.0968381975901
normal 13 4 1.0 mp2 156.1302969273183
