# Addition and removal energies (HF, IMSRG, QDPT)
#
# num_shells: total number of shells in basis.
#
# num_filled: number of shells fully occupied by electrons;
# The number of electrons is given by num_filled * (num_filled + 1).
#
# freq: frequency of the harmonic oscillator potential in atomic units.
#
# is_hole: whether the row denotes addition energy or removal energy;
# 0 => addition, 1 => removal.
#
# energy: value of addition/removal energy in atomic units.
#
num_shells num_filled freq method is_hole energy
12 3 0.1 imsrg+qpt2 1 1.68961
12 3 0.28 imsrg+qpt2 1 3.52109
12 3 0.5 imsrg+qpt2 1 5.33202
12 3 1 imsrg+qpt2 1 8.80173
13 1 0.28 imsrg+qpt2 1 0.70597
13 1 0.5 imsrg+qpt2 1 1.13446
13 1 1 imsrg+qpt2 1 1.98528
13 2 0.1 imsrg+qpt2 1 0.944121
13 2 0.28 imsrg+qpt2 1 2.02323
13 2 0.5 imsrg+qpt2 1 3.0991
13 2 1 imsrg+qpt2 1 5.18196
13 3 0.1 imsrg+qpt2 1 1.69024
13 3 0.28 imsrg+qpt2 1 3.52069
13 3 0.5 imsrg+qpt2 1 5.33102
13 3 1 imsrg+qpt2 1 8.79975
14 1 0.28 imsrg+qpt2 1 0.705975
14 1 0.5 imsrg+qpt2 1 1.13431
14 1 1 imsrg+qpt2 1 1.9849
14 2 0.1 imsrg+qpt2 1 0.944284
14 2 0.28 imsrg+qpt2 1 2.02314
14 2 0.5 imsrg+qpt2 1 3.09872
14 2 1 imsrg+qpt2 1 5.18113
14 3 0.1 imsrg+qpt2 1 1.69046
14 3 0.28 imsrg+qpt2 1 3.5204
14 3 0.5 imsrg+qpt2 1 5.33026
14 3 1 imsrg+qpt2 1 8.79827
6 1 0.28 imsrg+qpt3 1 0.713384
6 1 0.5 imsrg+qpt3 1 1.14564
6 1 1 imsrg+qpt3 1 2.00078
6 2 0.1 imsrg+qpt3 1 0.948206
6 2 0.28 imsrg+qpt3 1 2.03902
6 2 0.5 imsrg+qpt3 1 3.12545
6 2 1 imsrg+qpt3 1 5.2213
6 3 0.28 imsrg+qpt3 1 3.79943
6 3 0.5 imsrg+qpt3 1 5.58483
6 3 1 imsrg+qpt3 1 9.01178
7 1 0.28 imsrg+qpt3 1 0.713004
7 1 0.5 imsrg+qpt3 1 1.14433
7 1 1 imsrg+qpt3 1 1.99813
7 2 0.1 imsrg+qpt3 1 0.941491
7 2 0.28 imsrg+qpt3 1 2.03718
7 2 0.5 imsrg+qpt3 1 3.12052
7 2 1 imsrg+qpt3 1 5.2117
7 3 0.1 imsrg+qpt3 1 1.84773
7 3 0.28 imsrg+qpt3 1 3.64897
7 3 0.5 imsrg+qpt3 1 5.42941
7 3 1 imsrg+qpt3 1 8.86675
8 1 0.28 imsrg+qpt3 1 0.712847
8 1 0.5 imsrg+qpt3 1 1.14353
8 1 1 imsrg+qpt3 1 1.99638
8 2 0.1 imsrg+qpt3 1 0.947409
8 2 0.28 imsrg+qpt3 1 2.03645
8 2 0.5 imsrg+qpt3 1 3.11783
8 2 1 imsrg+qpt3 1 5.20617
8 3 0.28 imsrg+qpt3 1 3.5804
8 3 0.5 imsrg+qpt3 1 5.38411
8 3 1 imsrg+qpt3 1 8.84432
9 1 0.28 imsrg+qpt3 1 0.71274
9 1 0.5 imsrg+qpt3 1 1.14295
9 1 1 imsrg+qpt3 1 1.99511
9 2 0.1 imsrg+qpt3 1 0.948453
9 2 0.28 imsrg+qpt3 1 2.03586
9 2 0.5 imsrg+qpt3 1 3.11606
9 2 1 imsrg+qpt3 1 5.20264
9 3 0.1 imsrg+qpt3 1 1.72032
9 3 0.28 imsrg+qpt3 1 3.54095
9 3 0.5 imsrg+qpt3 1 5.3541
9 3 1 imsrg+qpt3 1 8.82947
10 1 0.28 imsrg+qpt3 1 0.712681
10 1 0.5 imsrg+qpt3 1 1.14252
10 1 1 imsrg+qpt3 1 1.99416
10 2 0.1 imsrg+qpt3 1 0.949036
10 2 0.28 imsrg+qpt3 1 2.03544
10 2 0.5 imsrg+qpt3 1 3.11483
10 2 1 imsrg+qpt3 1 5.20019
10 3 0.1 imsrg+qpt3 1 1.70032
10 3 0.28 imsrg+qpt3 1 3.53752
10 3 0.5 imsrg+qpt3 1 5.35084
10 3 1 imsrg+qpt3 1 8.82332
11 1 0.28 imsrg+qpt3 1 0.712639
11 1 0.5 imsrg+qpt3 1 1.14219
11 1 1 imsrg+qpt3 1 1.99341
11 2 0.1 imsrg+qpt3 1 0.949391
11 2 0.28 imsrg+qpt3 1 2.03514
11 2 0.5 imsrg+qpt3 1 3.11393
11 2 1 imsrg+qpt3 1 5.1984
11 3 0.1 imsrg+qpt3 1 1.69936
11 3 0.28 imsrg+qpt3 1 3.53547
11 3 0.5 imsrg+qpt3 1 5.3487
11 3 1 imsrg+qpt3 1 8.8192
12 1 0.28 imsrg+qpt3 1 0.712612
12 1 0.5 imsrg+qpt3 1 1.14193
12 1 1 imsrg+qpt3 1 1.99281
12 2 0.1 imsrg+qpt3 1 0.94963
12 2 0.28 imsrg+qpt3 1 2.03492
12 2 0.5 imsrg+qpt3 1 3.11324
12 2 1 imsrg+qpt3 1 5.19702
12 3 0.1 imsrg+qpt3 1 1.69846
12 3 0.28 imsrg+qpt3 1 3.53481
12 3 0.5 imsrg+qpt3 1 5.34724
12 3 1 imsrg+qpt3 1 8.81643
13 1 0.28 imsrg+qpt3 1 0.712592
13 1 0.5 imsrg+qpt3 1 1.14172
13 1 1 imsrg+qpt3 1 1.99232
13 2 0.1 imsrg+qpt3 1 0.949832
13 2 0.28 imsrg+qpt3 1 2.03475
